Source,Target,Weight,Type
2006_0603306,2007_0615729,1,undirected
2006_0603306,2007_0621272,1,undirected
2006_0603306,2008_0719090,5,undirected
2006_0603306,2011_0721829,2,undirected
2006_0603306,2011_0721831,4,undirected
2006_0603306,2012_0681675,3,undirected
2006_0603306,2014_0723682,1,undirected
2006_0603306,2016_0743828,1,undirected
2006_0603306,2022_0822350,1,undirected
2006_0604231,2006_0610285,3,undirected
2006_0604231,2013_0704982,1,undirected
2006_0604231,2019_0787405,1,undirected
2006_0604231,2023_0849125,2,undirected
2006_0604700,2008_0636424,1,undirected
2006_0604700,2009_0644352,3,undirected
2006_0604700,2010_0669183_A1,2,undirected
2006_0605308,2008_0636424,2,undirected
2006_0605308,2012_0723724,3,undirected
2006_0605308,2014_0709683,1,undirected
2006_0605326,2010_0669183_A1,1,undirected
2006_0605326,2017_0759636,3,undirected
2006_0605326,2022_0830257,2,undirected
2006_0605334,2011_0721876,2,undirected
2006_0605334,2014_0722256,1,undirected
2006_0605334,2017_0759636,3,undirected
2006_0605334,2022_0833151,4,undirected
2006_0605505,2009_0725149,3,undirected
2006_0605505,2013_0723683,2,undirected
2006_0605505,2014_0723682,1,undirected
2006_0605505,2014_0723715,2,undirected
2006_0605505,2018_0773698,2,undirected
2006_0606395,2008_0719552,3,undirected
2006_0606395,2011_0721875,4,undirected
2006_0606395,2013_0723719,4,undirected
2006_0606600,2017_0759636,2,undirected
2006_0606600,2022_0824040,3,undirected
2006_0606600,2023_0849882,1,undirected
2006_0607538,2010_0654181,2,undirected
2006_0607538,2017_0768151,2,undirected
2006_0607538,2021_0812001,1,undirected
2006_0607538,2023_0833910,5,undirected
2006_0608369,2009_0721514,4,undirected
2006_0608369,2011_0722431,3,undirected
2006_0608369,2021_0812367,1,undirected
2006_0608782,2007_0618425,2,undirected
2006_0608782,2008_0632916,2,undirected
2006_0608782,2010_0660550,2,undirected
2006_0608782,2011_0675656_A1,1,undirected
2006_0608782,2011_0675808_A1,1,undirected
2006_0608782,2015_0737594,4,undirected
2006_0608782,2016_0746109,2,undirected
2006_0608990,2007_0621526,5,undirected
2006_0608990,2017_0767425,1,undirected
2006_0608990,2021_0809778,2,undirected
2006_0609028,2008_0632916,3,undirected
2006_0609028,2010_0662860,1,undirected
2006_0609028,2010_0669183_A1,2,undirected
2006_0609028,2017_0759636,3,undirected
2006_0609650,2009_0645807,2,undirected
2006_0609650,2011_0669831_A1,3,undirected
2006_0609650,2011_0722431,1,undirected
2006_0609650,2016_0751977,3,undirected
2006_0610004,2006_0610285,1,undirected
2006_0610004,2010_0669183_A1,3,undirected
2006_0610004,2020_0799804,2,undirected
2006_0610033,2009_0650966,1,undirected
2006_0610033,2010_0658780,5,undirected
2006_0610033,2010_0665553,1,undirected
2006_0610033,2016_0741744,2,undirected
2006_0610204,2007_0623397,2,undirected
2006_0610204,2008_0627762,1,undirected
2006_0610204,2010_0656172,1,undirected
2006_0610204,2010_0663681,3,undirected
2006_0610204,2013_0690159,2,undirected
2006_0610204,2017_0769218,3,undirected
2006_0610204,2021_0812367,1,undirected
2006_0610204,2023_0849882,6,undirected
2006_0610285,2006_0604231,3,undirected
2006_0610285,2006_0610004,1,undirected
2006_0610285,2009_0650966,3,undirected
2006_0610285,2010_0658130,3,undirected
2006_0610285,2010_0664580,3,undirected
2006_0610285,2014_0714271,2,undirected
2006_0610285,2018_0778044,2,undirected
2006_0610285,2018_0782945,3,undirected
2006_0610285,2019_0787405,3,undirected
2006_0610285,2023_0844412,2,undirected
2006_0610285,2023_0848005,2,undirected
2006_0610357,2013_0689940,1,undirected
2006_0610357,2015_0726288,1,undirected
2006_0610357,2017_0760943,2,undirected
2006_0610357,2023_0842897,6,undirected
2006_0610632,2011_0674921_A1,3,undirected
2006_0610632,2018_0774382,4,undirected
2006_0610632,2021_0811461,2,undirected
2006_0611233,2013_0690270,1,undirected
2006_0611233,2014_0708926,3,undirected
2006_0611233,2015_0735644,2,undirected
2006_0612262,2011_0668451_A1,1,undirected
2006_0612262,2017_0768151,2,undirected
2006_0612262,2021_0810916,3,undirected
2006_0612272,2009_0641033,2,undirected
2006_0612272,2010_0656172,3,undirected
2006_0612272,2015_0736348,2,undirected
2006_0612272,2017_0760943,5,undirected
2006_0612272,2021_0812367,1,undirected
2006_0612675,2013_0689275,1,undirected
2006_0612675,2017_0766477,2,undirected
2006_0612675,2020_0805015,3,undirected
2006_0612675,2022_0824040,2,undirected
2006_0612675,2022_0827264,3,undirected
2007_0614376,2010_0669183_A1,1,undirected
2007_0614376,2015_0725079,1,undirected
2007_0614376,2017_0755178,2,undirected
2007_0614376,2022_0828496,3,undirected
2007_0614711,2012_0687383,2,undirected
