Source,Target,Weight,Type
primera_0345656_A1,primera_0605326,4,undirected
primera_0345656_A1,primera_0662860,2,undirected
primera_0345656_A1,primera_0708926,1,undirected
primera_0345656_A1,segunda_0758935,2,undirected
primera_0603306,primera_0681675,3,undirected
primera_0603306,primera_0719090,4,undirected
primera_0603306,primera_0721829,2,undirected
primera_0603306,primera_0723682,2,undirected
primera_0603306,primera_0725149,1,undirected
primera_0604231,primera_0654778,1,undirected
primera_0604231,primera_0680729_A1,1,undirected
primera_0604231,primera_0704982,1,undirected
primera_0604231,primera_0722160,2,undirected
primera_0604231,segunda_0787405,1,undirected
primera_0604231,segunda_0810444,1,undirected
primera_0604231,segunda_0849125,6,undirected
primera_0604700,primera_0636424,1,undirected
primera_0604700,primera_0644352,6,undirected
primera_0604700,primera_0686399,3,undirected
primera_0604700,primera_0709610,2,undirected
primera_0605308,primera_0611233,4,undirected
primera_0605308,primera_0690270,3,undirected
primera_0605308,primera_0709683,5,undirected
primera_0605308,segunda_0745178,3,undirected
primera_0605326,primera_0345656_A1,4,undirected
primera_0605326,primera_0726288,3,undirected
primera_0605326,segunda_0830257,3,undirected
primera_0605334,primera_0721876,2,undirected
primera_0605334,primera_0722256,1,undirected
primera_0605334,segunda_0745634,2,undirected
primera_0605334,segunda_0769021,3,undirected
primera_0605334,segunda_0810970,2,undirected
primera_0605505,primera_0615729,2,undirected
primera_0605505,primera_0621272,1,undirected
primera_0605505,primera_0693050,3,undirected
primera_0605505,primera_0723682,2,undirected
primera_0605505,primera_0725149,5,undirected
primera_0605505,segunda_0773698,4,undirected
primera_0605505,segunda_0782154,1,undirected
primera_0605505,segunda_0840512,1,undirected
primera_0606395,primera_0619316,1,undirected
primera_0606395,primera_0719552,4,undirected
primera_0606395,primera_0721875,5,undirected
primera_0606395,primera_0723182,1,undirected
primera_0606600,primera_0629932,2,undirected
primera_0606600,primera_0700125,1,undirected
primera_0606600,segunda_0781189,3,undirected
primera_0607538,primera_0654181,3,undirected
primera_0607538,segunda_0743837,1,undirected
primera_0607538,segunda_0833910,6,undirected
primera_0608369,primera_0723240,3,undirected
primera_0608369,primera_0734672,1,undirected
primera_0608369,primera_0738980,2,undirected
primera_0608369,segunda_0750850,1,undirected
primera_0608369,segunda_0781189,1,undirected
primera_0608369,segunda_0798648,2,undirected
primera_0608782,primera_0646356,2,undirected
primera_0608782,primera_0737594,3,undirected
primera_0608782,segunda_0810109,1,undirected
primera_0608990,primera_0621526,6,undirected
primera_0608990,primera_0635587,1,undirected
primera_0608990,primera_0663796,3,undirected
primera_0608990,primera_0678307_A1,3,undirected
primera_0608990,segunda_0766477,2,undirected
primera_0608990,segunda_0809778,3,undirected
primera_0609028,primera_0632916,2,undirected
primera_0609028,primera_0669183_A1,1,undirected
primera_0609028,primera_0707750,3,undirected
primera_0609028,segunda_0756438,4,undirected
primera_0609028,segunda_0759636,1,undirected
primera_0609650,primera_0627762,2,undirected
primera_0609650,primera_0645807,4,undirected
primera_0609650,primera_0669831_A1,3,undirected
primera_0609650,primera_0723624,1,undirected
primera_0610004,primera_0628716,1,undirected
primera_0610004,primera_0714271,3,undirected
primera_0610004,segunda_0799804,6,undirected
primera_0610033,primera_0619463,3,undirected
primera_0610033,primera_0733028,2,undirected
primera_0610033,segunda_0766916,1,undirected
primera_0610204,primera_0623397,1,undirected
primera_0610204,primera_0630836,2,undirected
primera_0610204,primera_0678307_A1,2,undirected
primera_0610204,segunda_0781189,3,undirected
primera_0610285,primera_0658780,2,undirected
primera_0610285,segunda_0782945,3,undirected
primera_0610285,segunda_0787405,1,undirected
primera_0610357,primera_0635124,2,undirected
primera_0610357,primera_0689940,5,undirected
primera_0610357,primera_0725346,1,undirected
primera_0610357,segunda_0755175,2,undirected
primera_0610357,segunda_0789215,2,undirected
primera_0610357,segunda_0827264,2,undirected
primera_0610357,segunda_0842897,6,undirected
primera_0610632,primera_0645613,1,undirected
primera_0610632,primera_0655349,2,undirected
primera_0610632,primera_0672112_A1,2,undirected
primera_0610632,primera_0686399,1,undirected
primera_0610632,primera_0687085,1,undirected
primera_0610632,primera_0723275,1,undirected
primera_0610632,segunda_0743832,2,undirected
primera_0610632,segunda_0774382,6,undirected
primera_0611233,primera_0605308,4,undirected
primera_0611233,primera_0638048,1,undirected
primera_0611233,primera_0690270,2,undirected
primera_0612262,primera_0641393,3,undirected
primera_0612262,primera_0663925,2,undirected
primera_0612262,primera_0702673,3,undirected
primera_0612262,segunda_0810916,4,undirected
primera_0612272,primera_0656172,2,undirected
primera_0612272,primera_0736348,1,undirected
primera_0612272,segunda_0760943,2,undirected
primera_0612272,segunda_0834878,3,undirected
primera_0612675,segunda_0769218,1,undirected
primera_0612675,segunda_0810690,3,undirected
primera_0612675,segunda_0812367,2,undirected
primera_0614376,primera_0632795,2,undirected
primera_0614376,primera_0734672,1,undirected
primera_0614376,segunda_0774148,3,undirected
primera_0614711,primera_0641841,3,undirected
primera_0614711,primera_0687383,3,undirected
primera_0614711,primera_0705158,1,undirected
primera_0615202,primera_0721830,1,undirected
primera_0615202,segunda_0759636,3,undirected
primera_0615202,segunda_0800575,2,undirected
primera_0615389,primera_0628716,2,undirected
primera_0615389,primera_0714271,1,undirected
primera_0615389,segunda_0739951,5,undirected
primera_0615389,segunda_0789216,1,undirected
primera_0615718,primera_0719783,2,undirected
primera_0615718,primera_0725150,5,undirected
primera_0615718,primera_0734672,2,undirected
primera_0615718,segunda_0809778,1,undirected
primera_0615718,segunda_0836668,1,undirected
primera_0615729,primera_0605505,2,undirected
primera_0615729,primera_0723682,1,undirected
primera_0615729,primera_0725149,6,undirected
primera_0615729,segunda_0811461,1,undirected
primera_0615729,segunda_0822350,2,undirected
primera_0615729,segunda_0823199,1,undirected
primera_0616257,primera_0668756_A1,1,undirected
primera_0616257,primera_0691665,5,undirected
primera_0616257,primera_0729113,2,undirected
primera_0616257,segunda_0743837,4,undirected
primera_0616257,segunda_0748506,1,undirected
primera_0616257,segunda_0754893,1,undirected
primera_0616257,segunda_0766420,3,undirected
primera_0616257,segunda_0767426,3,undirected
primera_0616257,segunda_0786696,2,undirected
primera_0616257,segunda_0788573,1,undirected
primera_0616257,segunda_0788633,2,undirected
primera_0616257,segunda_0799804,2,undirected
primera_0616257,segunda_0825992,4,undirected
primera_0616257,segunda_0831470,2,undirected
primera_0618425,primera_0635124,4,undirected
primera_0618425,primera_0722160,1,undirected
primera_0618425,segunda_0811124,5,undirected
primera_0619316,primera_0606395,1,undirected
primera_0619316,primera_0674722_A1,1,undirected
primera_0619316,primera_0719783,5,undirected
primera_0619316,primera_0721829,3,undirected
primera_0619316,primera_0725149,1,undirected
primera_0619316,segunda_0822350,1,undirected
primera_0619316,segunda_0823199,4,undirected
primera_0619463,primera_0610033,3,undirected
primera_0619463,primera_0700125,1,undirected
primera_0619463,primera_0723240,3,undirected
primera_0619463,segunda_0751321,3,undirected
primera_0619463,segunda_0766916,2,undirected
primera_0619463,segunda_0771902,2,undirected
primera_0621235,primera_0638042,1,undirected
primera_0621235,primera_0638784,5,undirected
primera_0621235,primera_0722431,2,undirected
primera_0621272,primera_0605505,1,undirected
primera_0621272,primera_0719090,3,undirected
primera_0621272,segunda_0839234,2,undirected
primera_0621526,primera_0608990,6,undirected
primera_0621526,primera_0624813,3,undirected
primera_0621526,primera_0635587,1,undirected
primera_0621526,primera_0642509,3,undirected
primera_0621526,primera_0663681,3,undirected
primera_0621526,primera_0678307_A1,1,undirected
primera_0621526,primera_0723240,2,undirected
primera_0621526,primera_0723716,1,undirected
primera_0621526,primera_0727527,3,undirected
primera_0621526,primera_0735099,3,undirected
primera_0621526,segunda_0769218,2,undirected
primera_0621526,segunda_0806867,1,undirected
primera_0621526,segunda_0810690,2,undirected
primera_0621526,segunda_0812367,3,undirected
primera_0622595,primera_0650836,1,undirected
primera_0622595,primera_0674372_A1,2,undirected
primera_0622595,primera_0721514,1,undirected
primera_0622595,primera_0722431,3,undirected
primera_0622595,primera_0723240,3,undirected
primera_0622595,primera_0723622,2,undirected
primera_0622595,primera_0725150,5,undirected
primera_0622595,segunda_0741744,2,undirected
primera_0622595,segunda_0766916,1,undirected
primera_0623397,primera_0610204,1,undirected
primera_0623397,primera_0629932,2,undirected
primera_0623397,segunda_0760943,1,undirected
primera_0623397,segunda_0781189,3,undirected
primera_0624813,primera_0621526,3,undirected
primera_0624813,primera_0723240,2,undirected
primera_0624813,segunda_0834878,1,undirected
primera_0626143,primera_0677018_A1,1,undirected
primera_0626143,primera_0723631,2,undirected
primera_0626143,segunda_0800575,3,undirected
primera_0626526,primera_0632795,2,undirected
primera_0626526,primera_0721877,2,undirected
primera_0626526,segunda_0825991,2,undirected
primera_0626526,segunda_0842479,4,undirected
primera_0627762,primera_0609650,2,undirected
primera_0627762,primera_0645807,3,undirected
primera_0627762,primera_0669831_A1,1,undirected
primera_0627962,primera_0680884_A1,1,undirected
primera_0627962,segunda_0800575,2,undirected
primera_0627962,segunda_0809309,3,undirected
primera_0628636,primera_0635667,2,undirected
primera_0628636,primera_0678343_A1,6,undirected
primera_0628636,segunda_0745000,2,undirected
primera_0628636,segunda_0745178,2,undirected
primera_0628636,segunda_0783354,5,undirected
primera_0628636,segunda_0795604,4,undirected
primera_0628716,primera_0610004,1,undirected
primera_0628716,primera_0615389,2,undirected
primera_0628716,primera_0668451_A1,2,undirected
primera_0628716,primera_0669183_A1,3,undirected
primera_0628716,primera_0717457,3,undirected
primera_0628716,segunda_0755721,1,undirected
primera_0628716,segunda_0820685,3,undirected
primera_0628716,segunda_0848268,6,undirected
primera_0628716,segunda_0849461,4,undirected
primera_0629932,primera_0606600,2,undirected
primera_0629932,primera_0623397,2,undirected
primera_0629932,primera_0635587,5,undirected
primera_0629932,primera_0638042,1,undirected
primera_0629932,primera_0674294_A1,2,undirected
primera_0629932,primera_0687383,3,undirected
primera_0629932,primera_0723240,1,undirected
primera_0629932,segunda_0791321,3,undirected
primera_0629932,segunda_0834137,3,undirected
primera_0630836,primera_0610204,2,undirected
primera_0630836,primera_0656172,1,undirected
primera_0630836,primera_0674294_A1,1,undirected
primera_0630836,primera_0689534,1,undirected
primera_0630836,primera_0690159,2,undirected
primera_0630836,primera_0723240,1,undirected
primera_0630836,primera_0738980,2,undirected
primera_0630836,segunda_0787271,2,undirected
primera_0630836,segunda_0791321,3,undirected
primera_0630836,segunda_0805981,1,undirected
primera_0632795,primera_0614376,2,undirected
primera_0632795,primera_0626526,2,undirected
primera_0632795,primera_0723775,1,undirected
primera_0632795,segunda_0842479,3,undirected
primera_0632916,primera_0609028,2,undirected
primera_0632916,primera_0650966,3,undirected
primera_0632916,primera_0657628,1,undirected
primera_0635124,primera_0610357,2,undirected
primera_0635124,primera_0618425,4,undirected
primera_0635124,primera_0662860,2,undirected
primera_0635124,primera_0704982,3,undirected
primera_0635124,primera_0729792,1,undirected
primera_0635124,segunda_0842897,3,undirected
primera_0635587,primera_0608990,1,undirected
primera_0635587,primera_0621526,1,undirected
primera_0635587,primera_0629932,5,undirected
primera_0635587,primera_0641033,2,undirected
primera_0635587,primera_0650966,1,undirected
primera_0635587,primera_0702399,3,undirected
primera_0635587,primera_0705158,2,undirected
primera_0635587,primera_0729496,1,undirected
primera_0635587,primera_0733028,4,undirected
primera_0635587,primera_0738980,4,undirected
primera_0635587,segunda_0755849,3,undirected
primera_0635587,segunda_0757806,3,undirected
primera_0635587,segunda_0759014,3,undirected
primera_0635587,segunda_0788753,2,undirected
primera_0635587,segunda_0795031,3,undirected
primera_0635587,segunda_0811124,1,undirected
primera_0635587,segunda_0824040,2,undirected
